,KillDiff,FirstBlood,AssistDiff,GoldDiff,Dragon,Herald,ExperienceDiff,TowersDestroyed,MinionDiff,win
8505,-5,1,-5,-27.38,0,0,-17.59,0,-45,0
8506,-1,0,-2,-13.18,0,1,-6.27,0,-55,1
8507,5,0,4,35.38,0,1,29.04,1,37,1
8508,-7,0,-9,-32.17,0,0,-16.01,0,-20,0
8509,7,1,4,48.36,1,0,27.13,0,54,1
8510,3,1,4,14.89,1,1,-1.92,0,-61,1
8511,6,1,2,33.11,0,0,31.66,0,61,1
8512,2,1,5,20.08,1,1,27.14,0,26,1
8513,-3,0,-4,-11.12,0,1,-0.41,1,21,1
8514,4,1,5,38.4,1,1,31.65,1,-7,1
8515,-9,0,-11,-54.58,0,0,-36.13,0,2,0
8516,3,1,7,5.06,0,1,-1.42,0,-23,1
8517,0,1,-2,1.76,0,0,7.89,0,-21,0
8518,4,0,8,25.82,0,0,27.32,0,21,1
8519,1,0,1,4.59,0,0,13.26,0,14,1
8521,6,1,5,47.59,1,0,32.79,0,54,1
8522,-1,0,0,-9.68,0,0,-10.29,0,-12,0
8523,8,0,9,42.94,0,1,25.6,0,15,1
8524,-1,1,-1,-0.95,1,0,1.94,0,-9,1
8525,3,1,1,37.81,1,0,10.33,1,43,0
8526,-4,0,-3,-17.04,0,0,-17.87,0,-16,1
8527,-1,0,-3,-7.29,0,0,-1.92,0,-6,1
8528,-3,0,-5,-2.74,0,0,-1.92,0,33,1
8529,2,0,-2,2.77,0,0,2.52,0,3,1
8530,2,0,-7,1.47,0,0,5.82,0,6,0
8531,-3,0,0,-11.62,0,0,-10.07,0,5,0
8532,4,1,3,39.42,0,1,28.2,1,29,1
8533,-1,1,5,-8.1,0,0,-12.26,0,17,1
8534,0,1,0,-8.25,0,0,-6.16,0,-9,1
8535,-1,0,-3,-24.72,0,0,1.74,0,-15,1
8536,2,1,4,30.18,0,0,13.2,0,58,1
8537,1,1,6,-1.25,1,1,-9.62,0,-19,0
8538,0,0,-2,-1.32,0,0,-3.3,0,0,1
8539,-1,0,0,-21.31,0,1,-21.73,0,-39,0
8540,-1,1,6,4.32,1,0,13.89,0,19,1
8541,2,1,-4,10.0,1,0,8.85,0,31,1
8542,4,1,4,29.25,1,1,13.04,1,2,0
8543,1,0,-4,-1.17,1,0,8.15,0,21,0
8544,-8,0,-12,-41.45,0,0,-37.14,0,-16,0
8545,-4,1,-9,-24.83,0,0,-13.56,0,-15,1
8547,-1,1,0,-9.29,0,1,-18.19,0,6,0
8548,3,0,4,12.19,0,0,16.41,0,1,1
8549,-1,0,-4,5.33,0,0,14.51,0,-26,1
8550,4,1,4,13.55,0,0,14.03,0,30,1
8551,-7,0,-13,-31.76,0,0,-22.35,0,-23,0
8552,9,1,10,39.67,0,1,5.93,1,-5,1
8553,2,0,2,20.91,0,0,25.37,0,51,1
8554,9,1,9,57.67,1,1,33.66,1,51,0
8555,6,1,5,29.74,0,0,27.77,0,44,1
8556,-5,0,-4,-23.68,0,1,-12.4,0,-38,1
8557,3,1,4,34.38,0,1,24.18,1,26,1
8558,5,1,8,24.61,0,1,9.56,0,22,1
8559,2,0,0,31.63,0,1,12.31,1,10,1
8560,0,1,-1,-0.95,0,0,-14.74,0,15,0
8561,-8,0,-11,-56.54,0,0,-22.36,0,-31,0
8562,-1,1,0,-6.96,1,0,-14.72,0,-3,0
8563,2,1,1,13.08,1,0,13.71,0,3,1
8564,-4,0,-8,-23.76,0,0,-14.82,0,-22,0
8565,-1,1,-1,-31.79,0,0,-20.74,0,-50,1
8566,-1,0,-1,-4.44,0,1,2.4,0,24,0
8567,2,1,-3,29.89,1,0,12.5,1,66,1
8568,0,0,-2,-11.34,0,0,9.4,0,-23,0
8569,-2,0,-5,-8.62,1,0,9.31,0,-3,1
8570,-6,0,-9,-26.96,1,0,-24.55,0,14,1
8572,5,1,11,23.48,0,1,21.15,0,34,1
8573,-4,0,-5,-29.39,0,0,-23.23,0,-16,0
8574,7,1,3,31.68,0,1,29.1,0,24,1
8575,3,1,-1,22.0,0,0,16.07,0,-2,0
8576,-1,0,-2,-12.19,0,0,-7.37,0,-56,0
8577,-5,1,1,-22.4,0,0,-43.14,0,-27,0
8578,-7,0,-8,-28.55,0,1,-16.03,0,-10,1
8580,1,1,1,21.15,1,1,-2.07,1,-30,1
8581,-3,0,-8,-16.68,1,0,-8.66,0,27,1
8582,-4,1,-13,-18.29,0,0,-11.32,0,-4,0
8583,-3,0,-6,-19.89,0,0,-12.99,0,-6,0
8584,4,0,6,15.19,1,1,11.04,0,-3,1
8585,4,1,4,26.27,1,1,17.59,0,5,1
8586,4,1,5,21.98,1,0,0.1,0,-2,1
8587,-4,1,-9,-24.37,1,0,-13.55,0,7,0
8588,-5,0,-5,-30.75,0,0,-20.08,0,-2,0
8589,5,0,11,18.24,1,0,15.56,0,-7,1
8590,3,1,3,21.71,0,0,9.6,0,7,1
8591,3,0,8,27.0,0,1,14.63,1,-20,1
8592,-2,0,-2,-5.88,1,0,-11.42,0,-14,0
8594,1,0,0,11.7,1,0,14.15,0,3,1
8595,-1,1,0,-3.42,1,1,-6.23,0,3,0
8596,-2,1,1,12.35,0,0,-2.7,0,5,1
8597,-3,0,1,-10.8,1,0,-13.62,0,-24,1
8598,0,0,-2,13.71,0,0,22.21,0,27,1
8599,-2,1,-4,-9.44,1,0,-10.54,0,11,1
8601,-5,0,-8,-38.25,0,1,-13.86,0,-38,0
8602,2,0,7,5.98,1,0,-4.56,0,19,1
8603,6,1,10,42.66,0,1,20.76,1,28,1
8604,-1,1,-2,-0.28,1,0,-0.28,0,-14,0
8605,5,1,9,26.47,1,0,29.48,0,26,1
8606,-4,0,-8,-15.65,1,0,-1.73,0,55,0
8608,-1,1,-4,-4.5,0,0,-8.49,0,34,1
8609,-3,0,-10,-11.08,0,1,-5.7,0,-5,0
8610,4,0,13,10.93,0,0,7.7,0,-35,1
8611,-1,0,0,-9.82,0,0,14.41,0,17,0
8612,1,1,2,1.09,0,0,13.68,0,-15,0
8613,4,0,7,11.66,0,0,18.99,0,-4,1
8614,1,0,0,-3.7,1,0,-16.81,0,-20,0
8615,2,1,-2,6.56,1,0,5.53,0,27,1
8616,3,0,4,14.21,0,0,10.97,0,7,1
8617,3,1,1,11.76,0,0,13.0,0,20,0
8619,-4,1,-7,-11.17,0,0,-7.64,0,15,0
8620,-1,1,0,18.95,1,1,-2.24,1,36,1
8621,3,1,4,9.36,0,1,-4.97,0,-24,1
8622,-5,0,-8,-12.57,0,0,-0.91,0,22,0
8623,0,1,-1,2.67,0,0,1.62,0,11,0
8624,1,0,1,1.31,1,0,-6.13,0,27,0
